2026-05-05 10:24:12, MOVE, v:1, k:ed@editor, mode:PICK
2026-05-05 10:26:48, MOVE, v:1, k:ed@editor, mode:BACK
2026-05-05 10:29:59, MOVE, v:1, k:ed@editor, mode:PICK
2026-05-05 10:30:01, MOVE, v:1, k:ed@editor, mode:BACK
2026-05-05 10:30:17, MOVE, v:1, k:ed@editorint, mode:DOWN
2026-05-05 10:30:21, MOVE, v:1, k:ed@editor, mode:PICK
2026-05-05 10:30:22, MOVE, v:1, k:ed@editor, mode:BACK
2026-05-05 10:31:43, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 10:31:48, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 10:33:41, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 10:34:07, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 10:34:30, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 10:49:05, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 10:53:10, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 10:58:36, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 11:03:06, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 11:03:20, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 11:00:18, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 11:08:43, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-05 11:09:09, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:12:23, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:16:13, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:17:55, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:18:11, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:18:50, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:19:53, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:20:47, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:26:10, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:28:51, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-05 11:34:48, EXEC, v:1, k:ed@editorint, mode:FREE
