2026-06-07 14:03:01, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-06-07 14:03:31, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-06-07 14:03:01, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-07 14:03:06, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-07 14:03:06, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-07 14:03:06, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-07 14:03:06, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-07 14:03:13, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-07 14:07:02, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:13:52, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:15:05, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:15:36, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:18:35, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:18:38, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:20:11, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:21:10, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:21:29, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:23:52, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:28:05, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:28:38, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:29:03, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:29:35, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:30:25, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:30:51, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:36:33, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:37:36, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:38:02, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:38:46, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:39:57, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:40:21, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:41:48, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:42:11, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:43:40, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:43:54, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:45:13, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:45:51, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:46:25, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:46:57, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:48:54, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 14:55:37, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:27:11, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:27:46, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:28:14, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:29:04, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:30:14, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:34:00, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:34:22, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:34:49, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:35:27, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:35:41, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:36:18, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:36:22, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:37:01, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:37:12, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:37:23, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:37:35, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:38:12, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:38:27, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:38:51, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:39:30, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:40:51, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:41:09, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:41:30, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:41:48, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:42:28, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:54:10, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-07 15:55:21, EXEC, v:1, k:ed@fractais_png, mode:FREE
